N_Rock,T,C,M_SE,R,T_deploy,T_remain,M_direct
377,186.1319832,7.960064242e+10,99952875,537000,0.09833072509,186.1319832,47125
381,186.1310521,8.020052861e+10,99952375,537000,0.09937402191,186.1310521,47625
385,186.130121,8.080041481e+10,99951875,537000,0.1004173187,186.130121,48125
389,186.1291899,8.1400301e+10,99951375,537000,0.1014606155,186.1291899,48625
393,186.1282588,8.200018719e+10,99950875,537000,0.1025039124,186.1282588,49125
397,186.1273277,8.260007339e+10,99950375,537000,0.1035472092,186.1273277,49625
401,186.1263966,8.319995958e+10,99949875,537000,0.104590506,186.1263966,50125
405,186.1254655,8.379984577e+10,99949375,537000,0.1056338028,186.1254655,50625
409,186.1245345,8.439973197e+10,99948875,537000,0.1066770996,186.1245345,51125
413,186.1236034,8.499961816e+10,99948375,537000,0.1077203965,186.1236034,51625
417,186.1226723,8.559950435e+10,99947875,537000,0.1087636933,186.1226723,52125
421,186.1217412,8.619939054e+10,99947375,537000,0.1098069901,186.1217412,52625
425,186.1208101,8.679927674e+10,99946875,537000,0.1108502869,186.1208101,53125
429,186.119879,8.739916293e+10,99946375,537000,0.1118935837,186.119879,53625
433,186.1189479,8.799904912e+10,99945875,537000,0.1129368805,186.1189479,54125
437,186.1180168,8.859893532e+10,99945375,537000,0.1139801774,186.1180168,54625
441,186.1170857,8.919882151e+10,99944875,537000,0.1150234742,186.1170857,55125
445,186.1161546,8.97987077e+10,99944375,537000,0.116066771,186.1161546,55625
449,186.1152235,9.03985939e+10,99943875,537000,0.1171100678,186.1152235,56125
453,186.1142924,9.099848009e+10,99943375,537000,0.1181533646,186.1142924,56625
457,186.1133613,9.159836628e+10,99942875,537000,0.1191966615,186.1133613,57125
461,186.1124302,9.219825248e+10,99942375,537000,0.1202399583,186.1124302,57625
465,186.1114991,9.279813867e+10,99941875,537000,0.1212832551,186.1114991,58125
469,186.110568,9.339802486e+10,99941375,537000,0.1223265519,186.110568,58625
473,186.1096369,9.399791106e+10,99940875,537000,0.1233698487,186.1096369,59125
477,186.1087058,9.459779725e+10,99940375,537000,0.1244131455,186.1087058,59625
481,186.1077747,9.519768344e+10,99939875,537000,0.1254564424,186.1077747,60125
485,186.1068436,9.579756964e+10,99939375,537000,0.1264997392,186.1068436,60625
489,186.1059125,9.639745583e+10,99938875,537000,0.127543036,186.1059125,61125
493,186.1049814,9.699734202e+10,99938375,537000,0.1285863328,186.1049814,61625
497,186.1040503,9.759722821e+10,99937875,537000,0.1296296296,186.1040503,62125
501,186.1031192,9.819711441e+10,99937375,537000,0.1306729264,186.1031192,62625
505,186.1021881,9.87970006e+10,99936875,537000,0.1317162233,186.1021881,63125
509,186.101257,9.939688679e+10,99936375,537000,0.1327595201,186.101257,63625
513,186.1003259,9.999677299e+10,99935875,537000,0.1338028169,186.1003259,64125
517,186.0993948,1.005966592e+11,99935375,537000,0.1348461137,186.0993948,64625
521,186.0984637,1.011965454e+11,99934875,537000,0.1358894105,186.0984637,65125
525,186.0975326,1.017964316e+11,99934375,537000,0.1369327074,186.0975326,65625
529,186.0966015,1.023963178e+11,99933875,537000,0.1379760042,186.0966015,66125
533,186.0956704,1.02996204e+11,99933375,537000,0.139019301,186.0956704,66625
537,186.0947393,1.035960901e+11,99932875,537000,0.1400625978,186.0947393,67125
541,186.0938082,1.041959763e+11,99932375,537000,0.1411058946,186.0938082,67625
545,186.0928771,1.047958625e+11,99931875,537000,0.1421491914,186.0928771,68125
549,186.091946,1.053957487e+11,99931375,537000,0.1431924883,186.091946,68625
553,186.0910149,1.059956349e+11,99930875,537000,0.1442357851,186.0910149,69125
557,186.0900838,1.065955211e+11,99930375,537000,0.1452790819,186.0900838,69625
561,186.0891527,1.071954073e+11,99929875,537000,0.1463223787,186.0891527,70125
565,186.0882216,1.077952935e+11,99929375,537000,0.1473656755,186.0882216,70625
569,186.0872905,1.083951797e+11,99928875,537000,0.1484089724,186.0872905,71125
573,186.0863594,1.089950659e+11,99928375,537000,0.1494522692,186.0863594,71625
577,186.0854283,1.095949521e+11,99927875,537000,0.150495566,186.0854283,72125
581,186.0844972,1.101948383e+11,99927375,537000,0.1515388628,186.0844972,72625
585,186.0835661,1.107947245e+11,99926875,537000,0.1525821596,186.0835661,73125
589,186.082635,1.113946107e+11,99926375,537000,0.1536254564,186.082635,73625
593,186.0817039,1.119944969e+11,99925875,537000,0.1546687533,186.0817039,74125
597,186.0807728,1.12594383e+11,99925375,537000,0.1557120501,186.0807728,74625
601,186.0798417,1.131942692e+11,99924875,537000,0.1567553469,186.0798417,75125
605,186.0789106,1.137941554e+11,99924375,537000,0.1577986437,186.0789106,75625
609,186.0779795,1.143940416e+11,99923875,537000,0.1588419405,186.0779795,76125
613,186.0770484,1.149939278e+11,99923375,537000,0.1598852374,186.0770484,76625
617,186.0761173,1.15593814e+11,99922875,537000,0.1609285342,186.0761173,77125
621,186.0751862,1.161937002e+11,99922375,537000,0.161971831,186.0751862,77625
625,186.0742551,1.167935864e+11,99921875,537000,0.1630151278,186.0742551,78125
629,186.073324,1.173934726e+11,99921375,537000,0.1640584246,186.073324,78625
633,186.0723929,1.179933588e+11,99920875,537000,0.1651017214,186.0723929,79125
637,186.0714618,1.18593245e+11,99920375,537000,0.1661450183,186.0714618,79625
641,186.0705307,1.191931312e+11,99919875,537000,0.1671883151,186.0705307,80125
645,186.0695996,1.197930174e+11,99919375,537000,0.1682316119,186.0695996,80625
649,186.0686685,1.203929036e+11,99918875,537000,0.1692749087,186.0686685,81125
653,186.0677374,1.209927897e+11,99918375,537000,0.1703182055,186.0677374,81625
657,186.0668063,1.215926759e+11,99917875,537000,0.1713615023,186.0668063,82125
661,186.0658752,1.221925621e+11,99917375,537000,0.1724047992,186.0658752,82625
665,186.0649441,1.227924483e+11,99916875,537000,0.173448096,186.0649441,83125
669,186.064013,1.233923345e+11,99916375,537000,0.1744913928,186.064013,83625
673,186.0630819,1.239922207e+11,99915875,537000,0.1755346896,186.0630819,84125
677,186.0621508,1.245921069e+11,99915375,537000,0.1765779864,186.0621508,84625
681,186.0612197,1.251919931e+11,99914875,537000,0.1776212833,186.0612197,85125
685,186.0602886,1.257918793e+11,99914375,537000,0.1786645801,186.0602886,85625
689,186.0593575,1.263917655e+11,99913875,537000,0.1797078769,186.0593575,86125
693,186.0584264,1.269916517e+11,99913375,537000,0.1807511737,186.0584264,86625
697,186.0574953,1.275915379e+11,99912875,537000,0.1817944705,186.0574953,87125
701,186.0565642,1.281914241e+11,99912375,537000,0.1828377673,186.0565642,87625
705,186.0556331,1.287913103e+11,99911875,537000,0.1838810642,186.0556331,88125
709,186.054702,1.293911965e+11,99911375,537000,0.184924361,186.054702,88625
713,186.0537709,1.299910826e+11,99910875,537000,0.1859676578,186.0537709,89125
717,186.0528399,1.305909688e+11,99910375,537000,0.1870109546,186.0528399,89625
721,186.0519088,1.31190855e+11,99909875,537000,0.1880542514,186.0519088,90125
725,186.0509777,1.317907412e+11,99909375,537000,0.1890975483,186.0509777,90625
729,186.0500466,1.323906274e+11,99908875,537000,0.1901408451,186.0500466,91125
733,186.0491155,1.329905136e+11,99908375,537000,0.1911841419,186.0491155,91625
737,186.0481844,1.335903998e+11,99907875,537000,0.1922274387,186.0481844,92125
741,186.0472533,1.34190286e+11,99907375,537000,0.1932707355,186.0472533,92625
745,186.0463222,1.347901722e+11,99906875,537000,0.1943140323,186.0463222,93125
749,186.0453911,1.353900584e+11,99906375,537000,0.1953573292,186.0453911,93625
753,186.04446,1.359899446e+11,99905875,537000,0.196400626,186.04446,94125
757,186.0435289,1.365898308e+11,99905375,537000,0.1974439228,186.0435289,94625
761,186.0425978,1.37189717e+11,99904875,537000,0.1984872196,186.0425978,95125
765,186.0416667,1.377896032e+11,99904375,537000,0.1995305164,186.0416667,95625
769,186.0407356,1.383894893e+11,99903875,537000,0.2005738132,186.0407356,96125
773,186.0398045,1.389893755e+11,99903375,537000,0.2016171101,186.0398045,96625
777,186.0388734,1.395892617e+11,99902875,537000,0.2026604069,186.0388734,97125
781,186.0379423,1.401891479e+11,99902375,537000,0.2037037037,186.0379423,97625
785,186.0370112,1.407890341e+11,99901875,537000,0.2047470005,186.0370112,98125
789,186.0360801,1.413889203e+11,99901375,537000,0.2057902973,186.0360801,98625
793,186.035149,1.419888065e+11,99900875,537000,0.2068335942,186.035149,99125
797,186.0342179,1.425886927e+11,99900375,537000,0.207876891,186.0342179,99625
801,186.0332868,1.431885789e+11,99899875,537000,0.2089201878,186.0332868,100125
805,186.0323557,1.437884651e+11,99899375,537000,0.2099634846,186.0323557,100625
809,186.0314246,1.443883513e+11,99898875,537000,0.2110067814,186.0314246,101125
813,186.0304935,1.449882375e+11,99898375,537000,0.2120500782,186.0304935,101625
817,186.0295624,1.455881237e+11,99897875,537000,0.2130933751,186.0295624,102125
821,186.0286313,1.461880099e+11,99897375,537000,0.2141366719,186.0286313,102625
825,186.0277002,1.467878961e+11,99896875,537000,0.2151799687,186.0277002,103125
829,186.0267691,1.473877822e+11,99896375,537000,0.2162232655,186.0267691,103625
833,186.025838,1.479876684e+11,99895875,537000,0.2172665623,186.025838,104125
837,186.0249069,1.485875546e+11,99895375,537000,0.2183098592,186.0249069,104625
841,186.0239758,1.491874408e+11,99894875,537000,0.219353156,186.0239758,105125
845,186.0230447,1.49787327e+11,99894375,537000,0.2203964528,186.0230447,105625
849,186.0221136,1.503872132e+11,99893875,537000,0.2214397496,186.0221136,106125
853,186.0211825,1.509870994e+11,99893375,537000,0.2224830464,186.0211825,106625
857,186.0202514,1.515869856e+11,99892875,537000,0.2235263432,186.0202514,107125
861,186.0193203,1.521868718e+11,99892375,537000,0.2245696401,186.0193203,107625
865,186.0183892,1.52786758e+11,99891875,537000,0.2256129369,186.0183892,108125
869,186.0174581,1.533866442e+11,99891375,537000,0.2266562337,186.0174581,108625
873,186.016527,1.539865304e+11,99890875,537000,0.2276995305,186.016527,109125
877,186.0155959,1.545864166e+11,99890375,537000,0.2287428273,186.0155959,109625
881,186.0146648,1.551863028e+11,99889875,537000,0.2297861242,186.0146648,110125
885,186.0137337,1.55786189e+11,99889375,537000,0.230829421,186.0137337,110625
889,186.0128026,1.563860751e+11,99888875,537000,0.2318727178,186.0128026,111125
893,186.0118715,1.569859613e+11,99888375,537000,0.2329160146,186.0118715,111625
897,186.0109404,1.575858475e+11,99887875,537000,0.2339593114,186.0109404,112125
