N_Rock,T,C,M_SE,R,T_deploy,T_remain,M_direct
731,186.049581,1.326905705e+11,99908625,537000,0.1906624935,186.049581,91375
735,186.0486499,1.332904567e+11,99908125,537000,0.1917057903,186.0486499,91875
739,186.0477188,1.338903429e+11,99907625,537000,0.1927490871,186.0477188,92375
743,186.0467877,1.344902291e+11,99907125,537000,0.1937923839,186.0467877,92875
747,186.0458566,1.350901153e+11,99906625,537000,0.1948356808,186.0458566,93375
751,186.0449255,1.356900015e+11,99906125,537000,0.1958789776,186.0449255,93875
755,186.0439944,1.362898877e+11,99905625,537000,0.1969222744,186.0439944,94375
759,186.0430633,1.368897739e+11,99905125,537000,0.1979655712,186.0430633,94875
763,186.0421322,1.374896601e+11,99904625,537000,0.199008868,186.0421322,95375
767,186.0412011,1.380895463e+11,99904125,537000,0.2000521648,186.0412011,95875
771,186.04027,1.386894324e+11,99903625,537000,0.2010954617,186.04027,96375
775,186.0393389,1.392893186e+11,99903125,537000,0.2021387585,186.0393389,96875
779,186.0384078,1.398892048e+11,99902625,537000,0.2031820553,186.0384078,97375
783,186.0374767,1.40489091e+11,99902125,537000,0.2042253521,186.0374767,97875
787,186.0365456,1.410889772e+11,99901625,537000,0.2052686489,186.0365456,98375
791,186.0356145,1.416888634e+11,99901125,537000,0.2063119457,186.0356145,98875
795,186.0346834,1.422887496e+11,99900625,537000,0.2073552426,186.0346834,99375
799,186.0337523,1.428886358e+11,99900125,537000,0.2083985394,186.0337523,99875
803,186.0328212,1.43488522e+11,99899625,537000,0.2094418362,186.0328212,100375
807,186.0318901,1.440884082e+11,99899125,537000,0.210485133,186.0318901,100875
811,186.030959,1.446882944e+11,99898625,537000,0.2115284298,186.030959,101375
815,186.0300279,1.452881806e+11,99898125,537000,0.2125717267,186.0300279,101875
819,186.0290968,1.458880668e+11,99897625,537000,0.2136150235,186.0290968,102375
823,186.0281657,1.46487953e+11,99897125,537000,0.2146583203,186.0281657,102875
827,186.0272346,1.470878392e+11,99896625,537000,0.2157016171,186.0272346,103375
831,186.0263035,1.476877253e+11,99896125,537000,0.2167449139,186.0263035,103875
835,186.0253724,1.482876115e+11,99895625,537000,0.2177882107,186.0253724,104375
839,186.0244413,1.488874977e+11,99895125,537000,0.2188315076,186.0244413,104875
843,186.0235102,1.494873839e+11,99894625,537000,0.2198748044,186.0235102,105375
847,186.0225791,1.500872701e+11,99894125,537000,0.2209181012,186.0225791,105875
851,186.021648,1.506871563e+11,99893625,537000,0.221961398,186.021648,106375
855,186.0207169,1.512870425e+11,99893125,537000,0.2230046948,186.0207169,106875
859,186.0197858,1.518869287e+11,99892625,537000,0.2240479917,186.0197858,107375
863,186.0188547,1.524868149e+11,99892125,537000,0.2250912885,186.0188547,107875
867,186.0179236,1.530867011e+11,99891625,537000,0.2261345853,186.0179236,108375
871,186.0169926,1.536865873e+11,99891125,537000,0.2271778821,186.0169926,108875
875,186.0160615,1.542864735e+11,99890625,537000,0.2282211789,186.0160615,109375
879,186.0151304,1.548863597e+11,99890125,537000,0.2292644757,186.0151304,109875
883,186.0141993,1.554862459e+11,99889625,537000,0.2303077726,186.0141993,110375
887,186.0132682,1.56086132e+11,99889125,537000,0.2313510694,186.0132682,110875
891,186.0123371,1.566860182e+11,99888625,537000,0.2323943662,186.0123371,111375
895,186.011406,1.572859044e+11,99888125,537000,0.233437663,186.011406,111875
899,186.0104749,1.578857906e+11,99887625,537000,0.2344809598,186.0104749,112375
903,186.0095438,1.584856768e+11,99887125,537000,0.2355242567,186.0095438,112875
907,186.0086127,1.59085563e+11,99886625,537000,0.2365675535,186.0086127,113375
911,186.0076816,1.596854492e+11,99886125,537000,0.2376108503,186.0076816,113875
915,186.0067505,1.602853354e+11,99885625,537000,0.2386541471,186.0067505,114375
919,186.0058194,1.608852216e+11,99885125,537000,0.2396974439,186.0058194,114875
923,186.0048883,1.614851078e+11,99884625,537000,0.2407407407,186.0048883,115375
927,186.0039572,1.62084994e+11,99884125,537000,0.2417840376,186.0039572,115875
931,186.0030261,1.626848802e+11,99883625,537000,0.2428273344,186.0030261,116375
935,186.002095,1.632847664e+11,99883125,537000,0.2438706312,186.002095,116875
939,186.0011639,1.638846526e+11,99882625,537000,0.244913928,186.0011639,117375
